Id,Sales_Price__c,Sales_Transport__c,Sales_Tonnage_charge_thereafter__c
802Sj000004BORJIA4,857.5,,210.7
802Sj000004BORKIA4,171.5,,
802Sj000004BORLIA4,44.1,,
802Sj000005SNoPIAW,424.683,,
802Sj000005VQ8EIAW,15.68,,
802Sj000005VQ8FIAW,18.13,,
802Sj0000063OK8IAM,486.65526,,160.4358
802Sj0000063r7ZIAQ,44.82765,,179.3106
802Sj0000063r7aIAA,17.039749999999998,,68.15899999999999
802Sj0000063r7bIAA,33.5552,,
802Sj0000063r7cIAA,47.187,,
802Sj0000063r7dIAA,19.923399999999997,,
802Sj0000063r7eIAA,39.3225,,
802Sj000007zmTXIAY,660.618,,
802Sj000007zmTYIAY,1.3107499999999999,,
802Sj000009ib57IAA,47.04,,
802Sj000009l5OtIAI,117.6,,235.2
802Sj00000AIFfaIAH,448.84,,
802Sj00000AmiSQIAZ,0.0,215.6,
802Sj00000CaMb1IAF,12.74,,
802Sj00000CaMb2IAF,6.859999999999999,,
802Sj00000D4L9dIAF,235.2,,
802Sj00000DNYmLIAX,538.02,,
802Sj00000DNYmMIAX,235.2,,
802Sj00000Eua3yIAB,9.8,,
802Sj00000Eua3zIAB,7.84,,
802Sj00000Eua40IAB,11.27,,225.4
802Sj00000Eua41IAB,7.35,,176.4
802Sj00000Eua42IAB,0.0,,
802Sj00000Eua43IAB,0.0,,
802Sj00000Eua44IAB,75.46,,
802Sj00000Eua45IAB,181.29999999999998,,
802Sj00000Eua46IAB,0.0,,
802Sj00000Fdk0kIAB,0.0,147.0,
802Sj00000FsSgGIAV,68.6,,
802Sj00000FsSgHIAV,2.45,,
8028e000007UN7nAAG,259.7,,
8028e000007av5lAAA,234.90599999999998,,
8028e000007av5mAAA,191.1,,
8028e000007av5nAAA,225.4,,
8028e00000804uxAAA,244.90200000000002,,
8028e000008HtV7AAK,142.1,,
8028e000008HtV8AAK,142.1,,
8028e000008X1rtAAC,387.09999999999997,,
8028e000008X1ruAAC,387.09999999999997,,
8028e000008YUTlAAO,284.2,,
8028e000008kwj7AAA,235.9056,,
8028e000008kwj8AAA,219.51999999999998,,
8028e000008lyhTAAQ,294.88199999999995,,
8028e000008m2UdAAI,289.884,,
8028e000000BIXMAA4,392.0,,126.8218
8028e000000BLBzAAO,323.8704,,
