Id,OrderItemNumber,Sales_Price__c,Sales_Transport__c,Sales_Tonnage_charge_thereafter__c
8024H00000R9ichQAB,0000027259,,167.8616,
8024H00000R9iciQAB,0000027260,77.575,,
8024H00000R9icjQAB,0000027261,223.5765,,
8024H00000RxY2JQAV,0000030474,176.5607,,198.6241
8024H00000RxY2KQAV,0000030475,167.4015,,
8024H00000Ry3EKQAZ,0000030930,1217.48,,
8024H00000Ry3ELQAZ,0000030931,132.83,,
8024H00000Ry3EMQAZ,0000030932,271.5,,
8024H00000Ry3ENQAZ,0000030933,68.25,,
8024H00000Ry3EOQAZ,0000030934,52.5,,
8024H00000Ry3EPQAZ,0000030935,78.75,,
8024H00000Ry3EQQAZ,0000030936,52.5,,
8024H00000Ry3ERQAZ,0000030937,11.5,,
8024H00000Ry3ESQAZ,0000030938,31.0,,
8024H00000Ry3ETQAZ,0000030939,37.0,,
8024H00000QDjRhQAL,0000031796,141.1116,,180.616
8024H00000QDjRiQAL,0000031797,141.1116,,180.616
8024H00000QDjRjQAL,0000031798,,204.9157,
8024H00000QDjRkQAL,0000031799,381.6262,,191.1448
8024H00000QDjRlQAL,0000031800,,0.6206,
8024H00000QDjRmQAL,0000031801,174.2388,,
8024H00000QDjRnQAL,0000031802,85.1292,,182.3922
8024H00000QDjRoQAL,0000031803,16.9381,,
8024H00000QDjRpQAL,0000031804,7.3509,,
8024H00000QDokjQAD,0000031893,85.1292,,184.2326
8024H00000QDokkQAD,0000031894,137.7197,,
8024H00000QDoklQAD,0000031895,6.7731,,
8024H00000QDokmQAD,0000031896,16.9381,,
8024H00000QDoknQAD,0000031897,,177.2776,
8024H00000QDokoQAD,0000031898,353.4424,,176.1755
8024H00000QDokpQAD,0000031899,141.1116,,180.616
8024H00000QDokqQAD,0000031900,165.7644,,184.2326
8024H00000QDokrQAD,0000031901,,152.4001,
8024H00000QDoksQAD,0000031902,56.4425,,
8024H00000QDoktQAD,0000031903,288.9,,
8024H00000QDokuQAD,0000031904,73.3806,,
8024H00000QE2uBQAT,0000032021,241.1994,,
8024H00000QFV7zQAH,0000032780,230.0,,
8024H00000QFV80QAH,0000032781,200.0,,
8024H00000QFV81QAH,0000032782,290.0,,
8024H00000QFV82QAH,0000032783,295.0,,
8024H00000QFV83QAH,0000032784,275.0,,135.0
8024H00000ShwF6QAJ,0000033457,215.8832,,
8024H00000SjSjPQAV,0000034039,1.6906,,
8024H00000SjSjQQAV,0000034040,39.5151,,
8024H00000SjSjRQAV,0000034041,304.7895,,
8024H00000TJNrxQAH,0000035320,,63.3,
8024H00000TLSu4QAH,0000036490,,0.0,
8024H00000TM18LQAT,0000037885,4.5154,,4.5154
8028e000000wkRbAAI,0000040401,554.7094,,175.3302
8028e000000wkx2AAA,0000040569,376.64,,
8028e000000wkx3AAA,0000040570,79.7685,,
8028e000000wkx7AAA,0000040571,68.48,,
8028e000000wkx8AAA,0000040572,79.7685,,
8028e000000wmeVAAQ,0000041230,299.1506,,86.9268
8028e000000wrxMAAQ,0000043340,168.8,,163.53
8028e000000wsjVAAQ,0000043627,199.4,,199.4
8028e000000pUCcAAM,0000044788,19.6452,,253.2048
8028e000000pUCdAAM,0000044789,13.0968,,210.6402
8028e000000mYDGAA2,0000045187,,,
8028e000000mYa0AAE,0000045308,115.78,,231.55
8028e000000mfmjAAA,0000046961,55.64,,
8028e000000ms3vAAA,0000047164,369.5566,,156.5945
8028e000000nG94AAE,0000047730,44.31,,
8028e000000nG95AAE,0000047731,12.66,,
8028e000000nLsrAAE,0000047776,84.4,,168.8
8028e000000npaNAAQ,0000048261,504.0,,126.0
8028e0000025thOAAQ,0000049735,351.816,,
8028e000002HPNGAA4,0000050018,31.65,,
8028e0000032qKCAAY,0000051184,410.0,,90.0
8028e0000032qKDAAY,0000051185,540.0,,135.0
8028e0000035F5GAAU,0000051285,109.568,,219.136
8028e0000036vlUAAQ,0000051372,223.737,,
8028e000003UhekAAC,0000051956,581.4,,142.8
8028e000003bkENAAY,0000052246,340.0,,
8028e000003bl0WAAQ,0000052247,33.8334,,234.7687
8028e000003bl0XAAQ,0000052248,12.0054,,210.0838
8028e000003bl0YAAQ,0000052249,401.25,,128.4
8028e000003bl8EAAQ,0000052250,375.0,,120.0
8028e000003bmUvAAI,0000052253,340.0,,
